name,type,start_time,duration,"mosi","miso"
"SPI","disable",1.663599333,0.000000042,,
"SPI","enable",1.668382208,0.000000042,,
"SPI","result",1.668382708,0.000007542,0xB5,0x10
"SPI","result",1.668390708,0.000007542,0x00,0x5F
"SPI","disable",1.668399208,0.000000042,,
"SPI","enable",1.674810208,0.000000042,,
"SPI","result",1.674810708,0.000007542,0xB5,0x20
"SPI","result",1.674818708,0.000007542,0x00,0x2F
"SPI","disable",1.67482725,0.000000042,,
"SPI","enable",1.680987417,0.000000042,,
"SPI","result",1.680987917,0.000007542,0xB5,0x20
"SPI","result",1.680995917,0.000007542,0x00,0x2F
"SPI","disable",1.681004417,0.000000042,,
"SPI","enable",1.687134667,0.000000042,,
"SPI","result",1.687135125,0.000007583,0xB5,0x20
"SPI","result",1.687143167,0.000007542,0x00,0x2F
"SPI","disable",1.687151667,0.000000042,,
"SPI","enable",1.69329975,0.000000042,,
"SPI","result",1.69330025,0.000007542,0xB5,0x20
"SPI","result",1.69330825,0.000007542,0x00,0x2F
"SPI","disable",1.69331675,0.000000042,,
"SPI","enable",1.699467208,0.000000042,,
"SPI","result",1.699467708,0.000007542,0xB5,0x20
"SPI","result",1.699475708,0.000007542,0x00,0x2F
"SPI","disable",1.69948425,0.000000042,,
"SPI","enable",1.705662042,0.000000042,,
"SPI","result",1.705662542,0.000007542,0xB5,0x20
"SPI","result",1.705670542,0.000007542,0x00,0x2F
"SPI","disable",1.705679042,0.000000042,,
"SPI","enable",1.711794833,0.000000042,,
"SPI","result",1.711795333,0.000007542,0xB5,0x20
"SPI","result",1.711803333,0.000007542,0x00,0x2F
"SPI","disable",1.711811833,0.000000042,,
"SPI","enable",1.729942833,0.000000042,,
"SPI","result",1.729943333,0.000007542,0xB5,0x20
"SPI","result",1.729951333,0.000007542,0x00,0x2F
"SPI","disable",1.729959875,0.000000042,,
"SPI","enable",1.730003375,0.000000042,,
"SPI","result",1.730003875,0.000007542,0xB5,0x20
"SPI","result",1.730011875,0.000007542,0x00,0x2F
"SPI","disable",1.730020375,0.000000042,,
"SPI","enable",1.73005875,0.000000042,,
"SPI","result",1.73005925,0.000007542,0xBB,0x20
"SPI","result",1.73006725,0.000007542,0x00,0x2F
"SPI","disable",1.730075792,0.000000042,,
"SPI","enable",1.730114833,0.000000042,,
"SPI","result",1.730115333,0.000007542,0xB8,0x20
"SPI","result",1.730123333,0.000007542,0x00,0x2F
"SPI","disable",1.730131833,0.000000042,,
"SPI","enable",1.730170208,0.000000042,,
"SPI","result",1.730170708,0.000007542,0x96,0x20
"SPI","result",1.730178708,0.000007542,0x00,0x07
"SPI","disable",1.730187208,0.000000042,,
"SPI","enable",1.730225583,0.000000042,,
"SPI","result",1.730226083,0.000007542,0x97,0x20
"SPI","result",1.730234083,0.000007542,0x00,0x30
"SPI","disable",1.730242625,0.000000042,,
"SPI","enable",1.741331,0.000000042,,
"SPI","result",1.7413315,0.000007542,0x36,0x2F
"SPI","disable",1.74134,0.000000042,,
"SPI","enable",1.741377167,0.000000042,,
